LOCNAME,GRADE,ANNUAL1,HOURLY1,OVERTIME1,ANNUAL2,HOURLY2,OVERTIME2,ANNUAL3,HOURLY3,OVERTIME3,ANNUAL4,HOURLY4,OVERTIME4,ANNUAL5,HOURLY5,OVERTIME5,ANNUAL6,HOURLY6,OVERTIME6,ANNUAL7,HOURLY7,OVERTIME7,ANNUAL8,HOURLY8,OVERTIME8,ANNUAL9,HOURLY9,OVERTIME9,ANNUAL10,HOURLY10,OVERTIME10
AK,1,22645,10.85,16.28,23402,11.21,16.82,24155,11.57,17.36,24904,11.93,17.90,25657,12.29,18.44,26099,12.51,18.77,26843,12.86,19.29,27594,13.22,19.83,27623,13.24,19.86,28320,13.57,20.36
AK,2,25460,12.20,18.30,26066,12.49,18.74,26909,12.89,19.34,27623,13.24,19.86,27934,13.38,20.07,28756,13.78,20.67,29578,14.17,21.26,30399,14.57,21.86,31221,14.96,22.44,32043,15.35,23.03
AK,3,27780,13.31,19.97,28706,13.75,20.63,29633,14.20,21.30,30559,14.64,21.96,31485,15.09,22.64,32412,15.53,23.30,33338,15.97,23.96,34265,16.42,24.63,35191,16.86,25.29,36118,17.31,25.97
AK,4,31186,14.94,22.41,32226,15.44,23.16,33266,15.94,23.91,34306,16.44,24.66,35346,16.94,25.41,36386,17.43,26.15,37426,17.93,26.90,38466,18.43,27.65,39506,18.93,28.40,40545,19.43,29.15
AK,5,34891,16.72,25.08,36054,17.28,25.92,37217,17.83,26.75,38381,18.39,27.59,39544,18.95,28.43,40708,19.51,29.27,41871,20.06,30.09,43034,20.62,30.93,44198,21.18,31.77,45361,21.74,32.61
AK,6,38893,18.64,27.96,40190,19.26,28.89,41487,19.88,29.82,42784,20.50,30.75,44080,21.12,31.68,45377,21.74,32.61,46674,22.36,33.54,47971,22.99,34.49,49268,23.61,35.42,50564,24.23,36.35
AK,7,43220,20.71,31.07,44660,21.40,32.10,46100,22.09,33.14,47541,22.78,34.17,48981,23.47,35.21,50421,24.16,36.24,51861,24.85,37.28,53301,25.54,38.31,54741,26.23,39.35,56182,26.92,40.38
AK,8,47865,22.93,34.40,49461,23.70,35.55,51057,24.46,36.69,52653,25.23,37.85,54249,25.99,38.99,55845,26.76,40.14,57441,27.52,41.28,59037,28.29,41.85,60633,29.05,41.85,62229,29.82,41.85
AK,9,52867,25.33,38.00,54629,26.18,39.27,56391,27.02,40.53,58153,27.86,41.79,59915,28.71,41.85,61677,29.55,41.85,63439,30.40,41.85,65200,31.24,41.85,66962,32.09,41.85,68724,32.93,41.85
AK,10,58219,27.90,41.85,60159,28.83,41.85,62099,29.76,41.85,64040,30.69,41.85,65980,31.61,41.85,67920,32.54,41.85,69860,33.47,41.85,71800,34.40,41.85,73740,35.33,41.85,75681,36.26,41.85
AK,11,63963,30.65,41.85,66096,31.67,41.85,68228,32.69,41.85,70360,33.71,41.85,72492,34.74,41.85,74624,35.76,41.85,76757,36.78,41.85,78889,37.80,41.85,81021,38.82,41.85,83153,39.84,41.85
AK,12,76667,36.74,41.85,79223,37.96,41.85,81779,39.18,41.85,84335,40.41,41.85,86891,41.63,41.85,89448,42.86,42.86,92004,44.08,44.08,94560,45.31,45.31,97116,46.53,46.53,99672,47.76,47.76
AK,13,91167,43.68,43.68,94206,45.14,45.14,97244,46.60,46.60,100283,48.05,48.05,103322,49.51,49.51,106361,50.96,50.96,109399,52.42,52.42,112438,53.88,53.88,115477,55.33,55.33,118515,56.79,56.79
AK,14,107731,51.62,51.62,111322,53.34,53.34,114913,55.06,55.06,118504,56.78,56.78,122095,58.50,58.50,125686,60.22,60.22,129277,61.94,61.94,132868,63.66,63.66,136459,65.39,65.39,140051,67.11,67.11
AK,15,126722,60.72,60.72,130947,62.74,62.74,135171,64.77,64.77,139396,66.79,66.79,143620,68.82,68.82,147845,70.84,70.84,152069,72.86,72.86,156294,74.89,74.89,158700,76.04,76.04,158700,76.04,76.04
ATL,1,21664,10.38,15.57,22388,10.73,16.10,23109,11.07,16.61,23826,11.42,17.13,24546,11.76,17.64,24969,11.96,17.94,25681,12.31,18.47,26399,12.65,18.98,26426,12.66,18.99,27093,12.98,19.47
ATL,2,24358,11.67,17.51,24938,11.95,17.93,25744,12.34,18.51,26426,12.66,18.99,26725,12.81,19.22,27511,13.18,19.77,28297,13.56,20.34,29083,13.94,20.91,29869,14.31,21.47,30655,14.69,22.04
ATL,3,26577,12.73,19.10,27463,13.16,19.74,28349,13.58,20.37,29236,14.01,21.02,30122,14.43,21.65,31008,14.86,22.29,31895,15.28,22.92,32781,15.71,23.57,33667,16.13,24.20,34554,16.56,24.84
ATL,4,29836,14.30,21.45,30831,14.77,22.16,31825,15.25,22.88,32820,15.73,23.60,33815,16.20,24.30,34810,16.68,25.02,35805,17.16,25.74,36800,17.63,26.45,37795,18.11,27.17,38790,18.59,27.89
ATL,5,33380,15.99,23.99,34493,16.53,24.80,35606,17.06,25.59,36719,17.59,26.39,37832,18.13,27.20,38945,18.66,27.99,40058,19.19,28.79,41171,19.73,29.60,42284,20.26,30.39,43397,20.79,31.19
ATL,6,37209,17.83,26.75,38450,18.42,27.63,39690,19.02,28.53,40931,19.61,29.42,42171,20.21,30.32,43412,20.80,31.20,44653,21.40,32.10,45893,21.99,32.99,47134,22.58,33.87,48374,23.18,34.77
ATL,7,41348,19.81,29.72,42726,20.47,30.71,44104,21.13,31.70,45482,21.79,32.69,46859,22.45,33.68,48237,23.11,34.67,49615,23.77,35.66,50993,24.43,36.65,52371,25.09,37.64,53748,25.75,38.63
ATL,8,45792,21.94,32.91,47319,22.67,34.01,48846,23.40,35.10,50373,24.14,36.21,51900,24.87,37.31,53426,25.60,38.40,54953,26.33,39.50,56480,27.06,40.04,58007,27.79,40.04,59534,28.53,40.04
ATL,9,50578,24.23,36.35,52263,25.04,37.56,53949,25.85,38.78,55634,26.66,39.99,57320,27.47,40.04,59006,28.27,40.04,60691,29.08,40.04,62377,29.89,40.04,64062,30.70,40.04,65748,31.50,40.04
ATL,10,55698,26.69,40.04,57554,27.58,40.04,59410,28.47,40.04,61266,29.36,40.04,63122,30.25,40.04,64978,31.13,40.04,66835,32.02,40.04,68691,32.91,40.04,70547,33.80,40.04,72403,34.69,40.04
ATL,11,61193,29.32,40.04,63233,30.30,40.04,65273,31.28,40.04,67313,32.25,40.04,69353,33.23,40.04,71393,34.21,40.04,73433,35.19,40.04,75472,36.16,40.04,77512,37.14,40.04,79552,38.12,40.04
ATL,12,73347,35.14,40.04,75792,36.32,40.04,78238,37.49,40.04,80683,38.66,40.04,83128,39.83,40.04,85574,41.00,41.00,88019,42.17,42.17,90465,43.35,43.35,92910,44.52,44.52,95356,45.69,45.69
ATL,13,87219,41.79,41.79,90126,43.18,43.18,93033,44.58,44.58,95940,45.97,45.97,98847,47.36,47.36,101754,48.76,48.76,104661,50.15,50.15,107569,51.54,51.54,110476,52.94,52.94,113383,54.33,54.33
ATL,14,103065,49.38,49.38,106501,51.03,51.03,109936,52.68,52.68,113372,54.32,54.32,116808,55.97,55.97,120243,57.62,57.62,123679,59.26,59.26,127114,60.91,60.91,130550,62.55,62.55,133985,64.20,64.20
ATL,15,121234,58.09,58.09,125276,60.03,60.03,129318,61.96,61.96,133359,63.90,63.90,137401,65.84,65.84,141442,67.77,67.77,145484,69.71,69.71,149525,71.65,71.65,153567,73.58,73.58,157608,75.52,75.52
BOS,1,22665,10.86,16.29,23422,11.22,16.83,24176,11.58,17.37,24926,11.94,17.91,25680,12.30,18.45,26122,12.52,18.78,26867,12.87,19.31,27618,13.23,19.85,27647,13.25,19.88,28345,13.58,20.37
