LOCNAME,GRADE,ANNUAL1,HOURLY1,OVERTIME1,ANNUAL2,HOURLY2,OVERTIME2,ANNUAL3,HOURLY3,OVERTIME3,ANNUAL4,HOURLY4,OVERTIME4,ANNUAL5,HOURLY5,OVERTIME5,ANNUAL6,HOURLY6,OVERTIME6,ANNUAL7,HOURLY7,OVERTIME7,ANNUAL8,HOURLY8,OVERTIME8,ANNUAL9,HOURLY9,OVERTIME9,ANNUAL10,HOURLY10,OVERTIME10
AK,1,22421,10.74,16.11,23170,11.10,16.65,23916,11.46,17.19,24657,11.81,17.72,25403,12.17,18.26,25841,12.38,18.57,26578,12.74,19.11,27321,13.09,19.64,27350,13.10,19.65,28048,13.44,20.16
AK,2,25209,12.08,18.12,25808,12.37,18.56,26643,12.77,19.16,27350,13.10,19.65,27655,13.25,19.88,28468,13.64,20.46,29281,14.03,21.05,30094,14.42,21.63,30907,14.81,22.22,31720,15.20,22.80
AK,3,27504,13.18,19.77,28421,13.62,20.43,29337,14.06,21.09,30254,14.50,21.75,31170,14.94,22.41,32086,15.37,23.06,33003,15.81,23.72,33919,16.25,24.38,34836,16.69,25.04,35752,17.13,25.70
AK,4,30877,14.79,22.19,31906,15.29,22.94,32934,15.78,23.67,33963,16.27,24.41,34992,16.77,25.16,36020,17.26,25.89,37049,17.75,26.63,38078,18.25,27.38,39107,18.74,28.11,40135,19.23,28.85
AK,5,34545,16.55,24.83,35698,17.10,25.65,36850,17.66,26.49,38002,18.21,27.32,39154,18.76,28.14,40306,19.31,28.97,41458,19.86,29.79,42610,20.42,30.63,43762,20.97,31.46,44915,21.52,32.28
AK,6,38508,18.45,27.68,39791,19.07,28.61,41074,19.68,29.52,42357,20.30,30.45,43640,20.91,31.37,44923,21.53,32.30,46206,22.14,33.21,47489,22.75,34.13,48772,23.37,35.06,50056,23.98,35.97
AK,7,42792,20.50,30.75,44219,21.19,31.79,45645,21.87,32.81,47072,22.55,33.83,48498,23.24,34.86,49925,23.92,35.88,51351,24.61,36.92,52778,25.29,37.94,54204,25.97,38.96,55630,26.66,39.99
AK,8,47391,22.71,34.07,48971,23.46,35.19,50551,24.22,36.33,52130,24.98,37.47,53710,25.74,38.61,55290,26.49,39.74,56870,27.25,40.88,58450,28.01,41.43,60030,28.76,41.43,61609,29.52,41.43
AK,9,52344,25.08,37.62,54088,25.92,38.88,55832,26.75,40.13,57577,27.59,41.39,59321,28.42,41.43,61066,29.26,41.43,62810,30.10,41.43,64555,30.93,41.43,66299,31.77,41.43,68043,32.60,41.43
AK,10,57643,27.62,41.43,59564,28.54,41.43,61486,29.46,41.43,63407,30.38,41.43,65329,31.30,41.43,67250,32.22,41.43,69172,33.14,41.43,71093,34.06,41.43,73015,34.99,41.43,74936,35.91,41.43
