LOCNAME,GRADE,ANNUAL1,HOURLY1,OVERTIME1,ANNUAL2,HOURLY2,OVERTIME2,ANNUAL3,HOURLY3,OVERTIME3,ANNUAL4,HOURLY4,OVERTIME4,ANNUAL5,HOURLY5,OVERTIME5,ANNUAL6,HOURLY6,OVERTIME6,ANNUAL7,HOURLY7,OVERTIME7,ANNUAL8,HOURLY8,OVERTIME8,ANNUAL9,HOURLY9,OVERTIME9,ANNUAL10,HOURLY10,OVERTIME10
AL,11,61817,29.62,40.44,63878,30.61,40.44,65939,31.60,40.44,68000,32.58,40.44,70061,33.57,40.44,72122,34.56,40.44,74183,35.55,40.44,76243,36.53,40.44,78304,37.52,40.44,80365,38.51,40.44
AL,12,74094,35.50,40.44,76564,36.69,40.44,79034,37.87,40.44,81503,39.05,40.44,83973,40.24,40.44,86443,41.42,41.42,88913,42.60,42.60,91383,43.79,43.79,93852,44.97,44.97,96322,46.15,46.15
AL,13,88107,42.22,42.22,91044,43.62,43.62,93981,45.03,45.03,96918,46.44,46.44,99854,47.85,47.85,102791,49.25,49.25,105728,50.66,50.66,108665,52.07,52.07,111602,53.47,53.47,114539,54.88,54.88
AL,14,104116,49.89,49.89,107587,51.55,51.55,111057,53.21,53.21,114528,54.88,54.88,117998,56.54,56.54,121469,58.20,58.20,124939,59.87,59.87,128410,61.53,61.53,131880,63.19,63.19,135351,64.85,64.85
AL,15,122468,58.68,58.68,126550,60.64,60.64,130633,62.59,62.59,134715,64.55,64.55,138797,66.51,66.51,142879,68.46,68.46,146961,70.42,70.42,151043,72.37,72.37,155126,74.33,74.33,159208,76.29,76.29
AQ,1,21746,10.42,15.63,22474,10.77,16.16,23197,11.11,16.67,23916,11.46,17.19,24640,11.81,17.72,25062,12.01,18.02,25776,12.35,18.53,26499,12.70,19.05,26526,12.71,19.07,27206,13.04,19.56
AQ,2,24450,11.72,17.58,25032,11.99,17.99,25841,12.38,18.57,26526,12.71,19.07,26827,12.85,19.28,27617,13.23,19.85,28406,13.61,20.42,29196,13.99,20.99,29985,14.37,21.56,30775,14.75,22.13
AQ,3,26677,12.78,19.17,27566,13.21,19.82,28455,13.63,20.45,29344,14.06,21.09,30233,14.49,21.74,31122,14.91,22.37,32011,15.34,23.01,32900,15.76,23.64,33789,16.19,24.29,34678,16.62,24.93
AQ,4,29948,14.35,21.53,30946,14.83,22.25,31944,15.31,22.97,32942,15.78,23.67,33940,16.26,24.39,34938,16.74,25.11,35935,17.22,25.83,36933,17.70,26.55,37931,18.17,27.26,38929,18.65,27.98
AQ,5,33507,16.06,24.09,34624,16.59,24.89,35741,17.13,25.70,36858,17.66,26.49,37975,18.20,27.30,39092,18.73,28.10,40209,19.27,28.91,41326,19.80,29.70,42443,20.34,30.51,43560,20.87,31.31
AQ,6,37349,17.90,26.85,38593,18.49,27.74,39838,19.09,28.64,41082,19.68,29.52,42326,20.28,30.42,43571,20.88,31.32,44815,21.47,32.21,46060,22.07,33.11,47304,22.67,34.01,48549,23.26,34.89
AQ,7,41505,19.89,29.84,42888,20.55,30.83,44271,21.21,31.82,45655,21.88,32.82,47038,22.54,33.81,48421,23.20,34.80,49805,23.86,35.79,51188,24.53,36.80,52571,25.19,37.79,53955,25.85,38.78
