LOCNAME,GRADE,ANNUAL1,HOURLY1,OVERTIME1,ANNUAL2,HOURLY2,OVERTIME2,ANNUAL3,HOURLY3,OVERTIME3,ANNUAL4,HOURLY4,OVERTIME4,ANNUAL5,HOURLY5,OVERTIME5,ANNUAL6,HOURLY6,OVERTIME6,ANNUAL7,HOURLY7,OVERTIME7,ANNUAL8,HOURLY8,OVERTIME8,ANNUAL9,HOURLY9,OVERTIME9,ANNUAL10,HOURLY10,OVERTIME10
AK,1,22199,10.64,15.96,22940,10.99,16.49,23679,11.35,17.03,24413,11.70,17.55,25151,12.05,18.08,25585,12.26,18.39,26315,12.61,18.92,27050,12.96,19.44,27079,12.98,19.47,27767,13.30,19.95
AK,2,24959,11.96,17.94,25553,12.24,18.36,26378,12.64,18.96,27079,12.98,19.47,27383,13.12,19.68,28189,13.51,20.27,28994,13.89,20.84,29800,14.28,21.42,30605,14.66,21.99,31411,15.05,22.58
AK,3,27232,13.05,19.58,28140,13.48,20.22,29048,13.92,20.88,29956,14.35,21.53,30863,14.79,22.19,31771,15.22,22.83,32679,15.66,23.49,33586,16.09,24.14,34494,16.53,24.80,35402,16.96,25.44
AK,4,30571,14.65,21.98,31590,15.14,22.71,32609,15.62,23.43,33628,16.11,24.17,34646,16.60,24.90,35665,17.09,25.64,36684,17.58,26.37,37703,18.07,27.11,38721,18.55,27.83,39740,19.04,28.56
AK,5,34204,16.39,24.59,35343,16.93,25.40,36483,17.48,26.22,37623,18.03,27.05,38762,18.57,27.86,39902,19.12,28.68,41042,19.67,29.51,42181,20.21,30.32,43321,20.76,31.14,44461,21.30,31.95
AK,6,38126,18.27,27.41,39397,18.88,28.32,40668,19.49,29.24,41938,20.09,30.14,43209,20.70,31.05,44479,21.31,31.97,45750,21.92,32.88,47021,22.53,33.80,48291,23.14,34.71,49562,23.75,35.63
AK,7,42368,20.30,30.45,43781,20.98,31.47,45194,21.66,32.49,46607,22.33,33.50,48019,23.01,34.52,49432,23.69,35.54,50845,24.36,36.54,52258,25.04,37.56,53670,25.72,38.58,55083,26.39,39.59
AK,8,46922,22.48,33.72,48486,23.23,34.85,50049,23.98,35.97,51613,24.73,37.10,53177,25.48,38.22,54740,26.23,39.35,56304,26.98,40.47,57867,27.73,41.03,59431,28.48,41.03,60995,29.23,41.03
AK,9,51825,24.83,37.25,53552,25.66,38.49,55279,26.49,39.74,57006,27.31,40.97,58733,28.14,41.03,60460,28.97,41.03,62187,29.80,41.03,63914,30.62,41.03,65641,31.45,41.03,67368,32.28,41.03
AK,10,57072,27.35,41.03,58975,28.26,41.03,60877,29.17,41.03,62780,30.08,41.03,64683,30.99,41.03,66586,31.91,41.03,68488,32.82,41.03,70391,33.73,41.03,72294,34.64,41.03,74197,35.55,41.03
AK,11,62703,30.04,41.03,64793,31.05,41.03,66882,32.05,41.03,68972,33.05,41.03,71062,34.05,41.03,73152,35.05,41.03,75242,36.05,41.03,77331,37.05,41.03,79421,38.06,41.03,81511,39.06,41.03
AK,12,75156,36.01,41.03,77661,37.21,41.03,80166,38.41,41.03,82671,39.61,41.03,85176,40.81,41.03,87681,42.01,42.01,90186,43.21,43.21,92691,44.41,44.41,95196,45.61,45.61,97701,46.81,46.81
AK,13,89370,42.82,42.82,92349,44.25,44.25,95328,45.68,45.68,98307,47.10,47.10,101286,48.53,48.53,104265,49.96,49.96,107243,51.39,51.39,110222,52.81,52.81,113201,54.24,54.24,116180,55.67,55.67
AK,14,105609,50.60,50.60,109129,52.29,52.29,112649,53.98,53.98,116169,55.66,55.66,119689,57.35,57.35,123209,59.04,59.04,126729,60.72,60.72,130249,62.41,62.41,133769,64.10,64.10,137289,65.78,65.78
AK,15,124226,59.52,59.52,128367,61.51,61.51,132508,63.49,63.49,136649,65.48,65.48,140790,67.46,67.46,144931,69.44,69.44,149072,71.43,71.43,153213,73.41,73.41,155500,74.51,74.51,155500,74.51,74.51
ATL,1,21237,10.18,15.27,21947,10.52,15.78,22653,10.85,16.28,23356,11.19,16.79,24062,11.53,17.30,24477,11.73,17.60,25175,12.06,18.09,25879,12.40,18.60,25906,12.41,18.62,26565,12.73,19.10
ATL,2,23878,11.44,17.16,24446,11.71,17.57,25236,12.09,18.14,25906,12.41,18.62,26197,12.55,18.83,26968,12.92,19.38,27739,13.29,19.94,28509,13.66,20.49,29280,14.03,21.05,30050,14.40,21.60
ATL,3,26053,12.48,18.72,26921,12.90,19.35,27790,13.32,19.98,28658,13.73,20.60,29527,14.15,21.23,30395,14.56,21.84,31264,14.98,22.47,32132,15.40,23.10,33000,15.81,23.72,33869,16.23,24.35
ATL,4,29248,14.01,21.02,30222,14.48,21.72,31197,14.95,22.43,32171,15.41,23.12,33146,15.88,23.82,34121,16.35,24.53,35095,16.82,25.23,36070,17.28,25.92,37044,17.75,26.63,38019,18.22,27.33
ATL,5,32722,15.68,23.52,33813,16.20,24.30,34903,16.72,25.08,35993,17.25,25.88,37084,17.77,26.66,38174,18.29,27.44,39264,18.81,28.22,40355,19.34,29.01,41445,19.86,29.79,42535,20.38,30.57
ATL,6,36475,17.48,26.22,37691,18.06,27.09,38906,18.64,27.96,40122,19.22,28.83,41338,19.81,29.72,42553,20.39,30.59,43769,20.97,31.46,44984,21.55,32.33,46200,22.14,33.21,47415,22.72,34.08
ATL,7,40534,19.42,29.13,41885,20.07,30.11,43237,20.72,31.08,44588,21.36,32.04,45940,22.01,33.02,47291,22.66,33.99,48643,23.31,34.97,49994,23.95,35.93,51346,24.60,36.90,52698,25.25,37.88
