LOCNAME,GRADE,ANNUAL1,HOURLY1,OVERTIME1,ANNUAL2,HOURLY2,OVERTIME2,ANNUAL3,HOURLY3,OVERTIME3,ANNUAL4,HOURLY4,OVERTIME4,ANNUAL5,HOURLY5,OVERTIME5,ANNUAL6,HOURLY6,OVERTIME6,ANNUAL7,HOURLY7,OVERTIME7,ANNUAL8,HOURLY8,OVERTIME8,ANNUAL9,HOURLY9,OVERTIME9,ANNUAL10,HOURLY10,OVERTIME10
AK,1,24551,11.76,17.64,25373,12.16,18.24,26190,12.55,18.83,27001,12.94,19.41,27818,13.33,20.00,28295,13.56,20.34,29102,13.94,20.91,29917,14.33,21.50,29949,14.35,21.53,30711,14.72,22.08
AK,2,27604,13.23,19.85,28262,13.54,20.31,29176,13.98,20.97,29949,14.35,21.53,30285,14.51,21.77,31176,14.94,22.41,32067,15.37,23.06,32957,15.79,23.69,33848,16.22,24.33,34738,16.64,24.96
AK,3,30119,14.43,21.65,31123,14.91,22.37,32127,15.39,23.09,33131,15.87,23.81,34135,16.36,24.54,35139,16.84,25.26,36143,17.32,25.98,37147,17.80,26.70,38151,18.28,27.42,39155,18.76,28.14
AK,4,33812,16.20,24.30,34938,16.74,25.11,36065,17.28,25.92,37191,17.82,26.73,38318,18.36,27.54,39444,18.90,28.35,40571,19.44,29.16,41697,19.98,29.97,42824,20.52,30.78,43950,21.06,31.59
AK,5,37829,18.13,27.20,39090,18.73,28.10,40350,19.33,29.00,41611,19.94,29.91,42871,20.54,30.81,44132,21.15,31.73,45392,21.75,32.63,46653,22.35,33.53,47914,22.96,34.44,49174,23.56,35.34
AK,6,42168,20.21,30.32,43574,20.88,31.32,44980,21.55,32.33,46386,22.23,33.35,47792,22.90,34.35,49199,23.57,35.36,50605,24.25,36.38,52011,24.92,37.38,53417,25.60,38.40,54823,26.27,39.41
AK,7,46859,22.45,33.68,48421,23.20,34.80,49984,23.95,35.93,51546,24.70,37.05,53108,25.45,38.18,54670,26.20,39.30,56232,26.94,40.41,57794,27.69,41.54,59356,28.44,42.66,60919,29.19,43.79
AK,8,51895,24.87,37.31,53625,25.69,38.54,55354,26.52,39.78,57084,27.35,41.03,58814,28.18,42.27,60543,29.01,43.52,62273,29.84,44.76,64003,30.67,45.36,65733,31.50,45.36,67462,32.32,45.36
AK,9,57319,27.46,41.19,59229,28.38,42.57,61139,29.30,43.95,63049,30.21,45.32,64959,31.13,45.36,66869,32.04,45.36,68780,32.96,45.36,70690,33.87,45.36,72600,34.79,45.36,74510,35.70,45.36
AK,10,63121,30.24,45.36,65225,31.25,45.36,67328,32.26,45.36,69432,33.27,45.36,71535,34.28,45.36,73639,35.28,45.36,75742,36.29,45.36,77846,37.30,45.36,79949,38.31,45.36,82053,39.32,45.36
AK,11,69349,33.23,45.36,71662,34.34,45.36,73974,35.45,45.36,76286,36.55,45.36,78598,37.66,45.36,80911,38.77,45.36,83223,39.88,45.36,85535,40.98,45.36,87848,42.09,45.36,90160,43.20,45.36
AK,12,83121,39.83,45.36,85892,41.16,45.36,88663,42.48,45.36,91435,43.81,45.36,94206,45.14,45.36,96977,46.47,46.47,99748,47.79,47.79,102519,49.12,49.12,105290,50.45,50.45,108061,51.78,51.78
AK,13,98842,47.36,47.36,102136,48.94,48.94,105431,50.52,50.52,108725,52.10,52.10,112020,53.68,53.68,115314,55.25,55.25,118608,56.83,56.83,121903,58.41,58.41,125197,59.99,59.99,128492,61.57,61.57
AK,14,116801,55.97,55.97,120695,57.83,57.83,124589,59.70,59.70,128483,61.56,61.56,132376,63.43,63.43,136270,65.29,65.29,140164,67.16,67.16,144058,69.03,69.03,147952,70.89,70.89,151845,72.76,72.76
AK,15,137390,65.83,65.83,141970,68.03,68.03,146549,70.22,70.22,151129,72.41,72.41,155708,74.61,74.61,160288,76.80,76.80,164867,79.00,79.00,166500,79.78,79.78,166500,79.78,79.78,166500,79.78,79.78
AL,1,22322,10.70,16.05,23070,11.05,16.58,23813,11.41,17.12,24550,11.76,17.64,25293,12.12,18.18,25727,12.33,18.50,26460,12.68,19.02,27201,13.03,19.55,27230,13.05,19.58,27923,13.38,20.07
AL,2,25099,12.03,18.05,25696,12.31,18.47,26527,12.71,19.07,27230,13.05,19.58,27536,13.19,19.79,28346,13.58,20.37,29156,13.97,20.96,29965,14.36,21.54,30775,14.75,22.13,31585,15.13,22.70
