LOCNAME,GRADE,ANNUAL1,HOURLY1,OVERTIME1,ANNUAL2,HOURLY2,OVERTIME2,ANNUAL3,HOURLY3,OVERTIME3,ANNUAL4,HOURLY4,OVERTIME4,ANNUAL5,HOURLY5,OVERTIME5,ANNUAL6,HOURLY6,OVERTIME6,ANNUAL7,HOURLY7,OVERTIME7,ANNUAL8,HOURLY8,OVERTIME8,ANNUAL9,HOURLY9,OVERTIME9,ANNUAL10,HOURLY10,OVERTIME10
AK,1,26308,12.61,18.92,27191,13.03,19.55,28065,13.45,20.18,28936,13.86,20.79,29810,14.28,21.42,30321,14.53,21.80,31187,14.94,22.41,32059,15.36,23.04,32094,15.38,23.07,32910,15.77,23.66
AK,2,29582,14.17,21.26,30286,14.51,21.77,31266,14.98,22.47,32094,15.38,23.07,32456,15.55,23.33,33411,16.01,24.02,34366,16.47,24.71,35320,16.92,25.38,36275,17.38,26.07,37230,17.84,26.76
AK,3,32278,15.47,23.21,33354,15.98,23.97,34430,16.50,24.75,35506,17.01,25.52,36582,17.53,26.30,37657,18.04,27.06,38733,18.56,27.84,39809,19.07,28.61,40885,19.59,29.39,41961,20.11,30.17
AK,4,36233,17.36,26.04,37441,17.94,26.91,38649,18.52,27.78,39856,19.10,28.65,41064,19.68,29.52,42272,20.25,30.38,43479,20.83,31.25,44687,21.41,32.12,45895,21.99,32.99,47102,22.57,33.86
AK,5,40538,19.42,29.13,41890,20.07,30.11,43241,20.72,31.08,44592,21.37,32.06,45943,22.01,33.02,47294,22.66,33.99,48645,23.31,34.97,49997,23.96,35.94,51348,24.60,36.90,52699,25.25,37.88
AK,6,45189,21.65,32.48,46696,22.37,33.56,48202,23.10,34.65,49708,23.82,35.73,51215,24.54,36.81,52721,25.26,37.89,54227,25.98,38.97,55734,26.71,40.07,57240,27.43,41.15,58746,28.15,42.23
AK,7,50216,24.06,36.09,51889,24.86,37.29,53562,25.66,38.49,55235,26.47,39.71,56909,27.27,40.91,58582,28.07,42.11,60255,28.87,43.31,61929,29.67,44.51,63602,30.48,45.72,65275,31.28,46.92
AK,8,55612,26.65,39.98,57466,27.54,41.31,59319,28.42,42.63,61172,29.31,43.97,63025,30.20,45.30,64879,31.09,46.64,66732,31.98,47.97,68585,32.86,48.62,70439,33.75,48.62,72292,34.64,48.62
AK,9,61424,29.43,44.15,63472,30.41,45.62,65519,31.39,47.09,67567,32.38,48.57,69614,33.36,48.62,71662,34.34,48.62,73709,35.32,48.62,75757,36.30,48.62,77805,37.28,48.62,79852,38.26,48.62
AK,10,67641,32.41,48.62,69896,33.49,48.62,72151,34.57,48.62,74406,35.65,48.62,76661,36.73,48.62,78916,37.81,48.62,81171,38.89,48.62,83426,39.97,48.62,85681,41.05,48.62,87936,42.14,48.62
AK,11,74317,35.61,48.62,76794,36.80,48.62,79271,37.98,48.62,81747,39.17,48.62,84224,40.36,48.62,86701,41.54,48.62,89177,42.73,48.62,91654,43.92,48.62,94131,45.10,48.62,96607,46.29,48.62
AK,12,89076,42.68,48.62,92045,44.10,48.62,95015,45.53,48.62,97985,46.95,48.62,100954,48.37,48.62,103924,49.80,49.80,106894,51.22,51.22,109863,52.64,52.64,112833,54.06,54.06,115803,55.49,55.49
AK,13,105922,50.75,50.75,109452,52.44,52.44,112983,54.14,54.14,116513,55.83,55.83,120044,57.52,57.52,123574,59.21,59.21,127105,60.90,60.90,130635,62.59,62.59,134166,64.29,64.29,137696,65.98,65.98
AK,14,125168,59.98,59.98,129340,61.97,61.97,133512,63.97,63.97,137684,65.97,65.97,141857,67.97,67.97,146029,69.97,69.97,150201,71.97,71.97,154373,73.97,73.97,158545,75.97,75.97,162717,77.97,77.97
AK,15,147231,70.55,70.55,152139,72.90,72.90,157047,75.25,75.25,161954,77.60,77.60,166862,79.95,79.95,171770,82.30,82.30,176300,84.48,84.48,176300,84.48,84.48,176300,84.48,84.48,176300,84.48,84.48
AL,1,23940,11.47,17.21,24744,11.86,17.79,25539,12.24,18.36,26332,12.62,18.93,27127,13.00,19.50,27592,13.22,19.83,28380,13.60,20.40,29173,13.98,20.97,29205,13.99,20.99,29948,14.35,21.53
AL,2,26919,12.90,19.35,27560,13.21,19.82,28451,13.63,20.45,29205,13.99,20.99,29535,14.15,21.23,30403,14.57,21.86,31272,14.98,22.47,32141,15.40,23.10,33010,15.82,23.73,33878,16.23,24.35
AL,3,29372,14.07,21.11,30351,14.54,21.81,31330,15.01,22.52,32309,15.48,23.22,33289,15.95,23.93,34268,16.42,24.63,35247,16.89,25.34,36226,17.36,26.04,37205,17.83,26.75,38184,18.30,27.45
AL,4,32972,15.80,23.70,34071,16.33,24.50,35170,16.85,25.28,36269,17.38,26.07,37368,17.91,26.87,38467,18.43,27.65,39566,18.96,28.44,40665,19.48,29.22,41763,20.01,30.02,42862,20.54,30.81
AL,5,36889,17.68,26.52,38119,18.26,27.39,39348,18.85,28.28,40578,19.44,29.16,41807,20.03,30.05,43037,20.62,30.93,44266,21.21,31.82,45496,21.80,32.70,46726,22.39,33.59,47955,22.98,34.47
AL,6,41121,19.70,29.55,42492,20.36,30.54,43863,21.02,31.53,45234,21.67,32.51,46604,22.33,33.50,47975,22.99,34.49,49346,23.64,35.46,50717,24.30,36.45,52087,24.96,37.44,53458,25.61,38.42
AL,7,45695,21.90,32.85,47218,22.62,33.93,48741,23.35,35.03,50263,24.08,36.12,51786,24.81,37.22,53309,25.54,38.31,54831,26.27,39.41,56354,27.00,40.50,57877,27.73,41.60,59399,28.46,42.69
AL,8,50606,24.25,36.38,52293,25.06,37.59,53979,25.86,38.79,55666,26.67,40.01,57352,27.48,41.22,59039,28.29,42.44,60725,29.10,43.65,62411,29.90,44.24,64098,30.71,44.24,65784,31.52,44.24
AL,9,55895,26.78,40.17,57758,27.68,41.52,59621,28.57,42.86,61485,29.46,44.19,63348,30.35,44.24,65211,31.25,44.24,67074,32.14,44.24,68938,33.03,44.24,70801,33.92,44.24,72664,34.82,44.24
