LOCNAME,GRADE,ANNUAL1,HOURLY1,OVERTIME1,ANNUAL2,HOURLY2,OVERTIME2,ANNUAL3,HOURLY3,OVERTIME3,ANNUAL4,HOURLY4,OVERTIME4,ANNUAL5,HOURLY5,OVERTIME5,ANNUAL6,HOURLY6,OVERTIME6,ANNUAL7,HOURLY7,OVERTIME7,ANNUAL8,HOURLY8,OVERTIME8,ANNUAL9,HOURLY9,OVERTIME9,ANNUAL10,HOURLY10,OVERTIME10
AK,1,27576,13.21,19.82,28502,13.66,20.49,29417,14.10,21.15,30331,14.53,21.80,31246,14.97,22.46,31782,15.23,22.85,32689,15.66,23.49,33603,16.10,24.15,33640,16.12,24.18,34502,16.53,24.80
AK,2,31007,14.86,22.29,31745,15.21,22.82,32772,15.70,23.55,33640,16.12,24.18,34020,16.30,24.45,35020,16.78,25.17,36021,17.26,25.89,37022,17.74,26.61,38022,18.22,27.33,39023,18.70,28.05
AK,3,33833,16.21,24.32,34961,16.75,25.13,36089,17.29,25.94,37217,17.83,26.75,38345,18.37,27.56,39473,18.91,28.37,40602,19.45,29.18,41730,20.00,30.00,42858,20.54,30.81,43986,21.08,31.62
AK,4,37979,18.20,27.30,39245,18.80,28.20,40511,19.41,29.12,41777,20.02,30.03,43043,20.62,30.93,44309,21.23,31.85,45575,21.84,32.76,46841,22.44,33.66,48106,23.05,34.58,49372,23.66,35.49
AK,5,42491,20.36,30.54,43908,21.04,31.56,45325,21.72,32.58,46742,22.40,33.60,48159,23.08,34.62,49576,23.75,35.63,50993,24.43,36.65,52410,25.11,37.67,53827,25.79,38.69,55244,26.47,39.71
AK,6,47367,22.70,34.05,48946,23.45,35.18,50524,24.21,36.32,52103,24.97,37.46,53681,25.72,38.58,55259,26.48,39.72,56838,27.23,40.85,58416,27.99,41.99,59995,28.75,43.13,61573,29.50,44.25
AK,7,52636,25.22,37.83,54390,26.06,39.09,56145,26.90,40.35,57899,27.74,41.61,59653,28.58,42.87,61408,29.42,44.13,63162,30.26,45.39,64917,31.11,46.67,66671,31.95,47.93,68426,32.79,49.19
AK,8,58292,27.93,41.90,60235,28.86,43.29,62179,29.79,44.69,64122,30.72,46.08,66066,31.66,47.49,68009,32.59,48.89,69953,33.52,50.28,71896,34.45,50.96,73840,35.38,50.96,75783,36.31,50.96
AK,9,64384,30.85,46.28,66529,31.88,47.82,68675,32.91,49.37,70821,33.93,50.90,72967,34.96,50.96,75112,35.99,50.96,77258,37.02,50.96,79404,38.05,50.96,81550,39.08,50.96,83695,40.10,50.96
AK,10,70900,33.97,50.96,73263,35.10,50.96,75627,36.24,50.96,77991,37.37,50.96,80355,38.50,50.96,82718,39.63,50.96,85082,40.77,50.96,87446,41.90,50.96,89810,43.03,50.96,92174,44.17,50.96
AK,11,77898,37.33,50.96,80494,38.57,50.96,83090,39.81,50.96,85686,41.06,50.96,88282,42.30,50.96,90879,43.55,50.96,93475,44.79,50.96,96071,46.03,50.96,98667,47.28,50.96,101263,48.52,50.96
AK,12,93367,44.74,50.96,96479,46.23,50.96,99592,47.72,50.96,102704,49.21,50.96,105816,50.70,50.96,108929,52.19,52.19,112041,53.69,53.69,115153,55.18,55.18,118265,56.67,56.67,121378,58.16,58.16
AK,13,111026,53.20,53.20,114726,54.97,54.97,118427,56.75,56.75,122128,58.52,58.52,125828,60.29,60.29,129529,62.06,62.06,133229,63.84,63.84,136930,65.61,65.61,140631,67.38,67.38,144331,69.16,69.16
