LOCNAME,GRADE,ANNUAL1,HOURLY1,OVERTIME1,ANNUAL2,HOURLY2,OVERTIME2,ANNUAL3,HOURLY3,OVERTIME3,ANNUAL4,HOURLY4,OVERTIME4,ANNUAL5,HOURLY5,OVERTIME5,ANNUAL6,HOURLY6,OVERTIME6,ANNUAL7,HOURLY7,OVERTIME7,ANNUAL8,HOURLY8,OVERTIME8,ANNUAL9,HOURLY9,OVERTIME9,ANNUAL10,HOURLY10,OVERTIME10
AK,1,23552,11.29,16.94,24340,11.66,17.49,25123,12.04,18.06,25903,12.41,18.62,26686,12.79,19.19,27144,13.01,19.52,27918,13.38,20.07,28700,13.75,20.63,28730,13.77,20.66,29457,14.11,21.17
AK,2,26480,12.69,19.04,27110,12.99,19.49,27988,13.41,20.12,28730,13.77,20.66,29053,13.92,20.88,29907,14.33,21.50,30762,14.74,22.11,31616,15.15,22.73,32470,15.56,23.34,33325,15.97,23.96
AK,3,28893,13.84,20.76,29856,14.31,21.47,30820,14.77,22.16,31784,15.23,22.85,32747,15.69,23.54,33711,16.15,24.23,34675,16.61,24.92,35638,17.08,25.62,36602,17.54,26.31,37566,18.00,27.00
AK,4,32436,15.54,23.31,33517,16.06,24.09,34597,16.58,24.87,35678,17.10,25.65,36758,17.61,26.42,37839,18.13,27.20,38920,18.65,27.98,40000,19.17,28.76,41081,19.68,29.52,42161,20.20,30.30
AK,5,36289,17.39,26.09,37500,17.97,26.96,38710,18.55,27.83,39920,19.13,28.70,41130,19.71,29.57,42341,20.29,30.44,43551,20.87,31.31,44761,21.45,32.18,45971,22.03,33.05,47182,22.61,33.92
AK,6,40451,19.38,29.07,41800,20.03,30.05,43149,20.68,31.02,44498,21.32,31.98,45847,21.97,32.96,47196,22.61,33.92,48545,23.26,34.89,49893,23.91,35.87,51242,24.55,36.83,52591,25.20,37.80
AK,7,44952,21.54,32.31,46451,22.26,33.39,47950,22.98,34.47,49448,23.69,35.54,50947,24.41,36.62,52446,25.13,37.70,53945,25.85,38.78,55444,26.57,39.86,56943,27.28,40.92,58442,28.00,42.00
AK,8,49783,23.85,35.78,51442,24.65,36.98,53101,25.44,38.16,54760,26.24,39.36,56419,27.03,40.55,58078,27.83,41.75,59737,28.62,42.93,61396,29.42,43.52,63055,30.21,43.52,64714,31.01,43.52
AK,9,54985,26.35,39.53,56818,27.22,40.83,58651,28.10,42.15,60485,28.98,43.47,62318,29.86,43.52,64151,30.74,43.52,65984,31.62,43.52,67817,32.49,43.52,69651,33.37,43.52,71484,34.25,43.52
AK,10,60552,29.01,43.52,62571,29.98,43.52,64590,30.95,43.52,66608,31.92,43.52,68627,32.88,43.52,70646,33.85,43.52,72665,34.82,43.52,74684,35.79,43.52,76703,36.75,43.52,78721,37.72,43.52
AK,11,66526,31.88,43.52,68743,32.94,43.52,70960,34.00,43.52,73177,35.06,43.52,75394,36.13,43.52,77612,37.19,43.52,79829,38.25,43.52,82046,39.31,43.52,84263,40.38,43.52,86480,41.44,43.52
AK,12,79738,38.21,43.52,82397,39.48,43.52,85055,40.75,43.52,87713,42.03,43.52,90372,43.30,43.52,93030,44.58,44.58,95688,45.85,45.85,98346,47.12,47.12,101005,48.40,48.40,103663,49.67,49.67
AK,13,94819,45.43,45.43,97979,46.95,46.95,101140,48.46,48.46,104300,49.98,49.98,107460,51.49,51.49,110621,53.00,53.00,113781,54.52,54.52,116942,56.03,56.03,120102,57.55,57.55,123263,59.06,59.06
AK,14,112047,53.69,53.69,115782,55.48,55.48,119517,57.27,57.27,123253,59.06,59.06,126988,60.85,60.85,130723,62.64,62.64,134458,64.43,64.43,138193,66.22,66.22,141928,68.01,68.01,145663,69.80,69.80
AK,15,131798,63.15,63.15,136192,65.26,65.26,140585,67.36,67.36,144979,69.47,69.47,149373,71.57,71.57,153766,73.68,73.68,158160,75.78,75.78,161900,77.58,77.58,161900,77.58,77.58,161900,77.58,77.58
AL,1,21462,10.28,15.42,22181,10.63,15.95,22894,10.97,16.46,23604,11.31,16.97,24318,11.65,17.48,24735,11.85,17.78,25441,12.19,18.29,26153,12.53,18.80,26181,12.54,18.81,26844,12.86,19.29
AL,2,24130,11.56,17.34,24705,11.84,17.76,25504,12.22,18.33,26181,12.54,18.81,26475,12.69,19.04,27254,13.06,19.59,28032,13.43,20.15,28811,13.80,20.70,29589,14.18,21.27,30368,14.55,21.83
AL,3,26329,12.62,18.93,27207,13.04,19.56,28086,13.46,20.19,28964,13.88,20.82,29842,14.30,21.45,30720,14.72,22.08,31598,15.14,22.71,32476,15.56,23.34,33354,15.98,23.97,34233,16.40,24.60
AL,4,29558,14.16,21.24,30543,14.63,21.95,31527,15.11,22.67,32512,15.58,23.37,33497,16.05,24.08,34482,16.52,24.78,35466,16.99,25.49,36451,17.47,26.21,37436,17.94,26.91,38420,18.41,27.62
AL,5,33069,15.85,23.78,34172,16.37,24.56,35275,16.90,25.35,36378,17.43,26.15,37481,17.96,26.94,38584,18.49,27.74,39687,19.02,28.53,40790,19.54,29.31,41893,20.07,30.11,42995,20.60,30.90
AL,6,36862,17.66,26.49,38091,18.25,27.38,39321,18.84,28.26,40550,19.43,29.15,41779,20.02,30.03,43008,20.61,30.92,44237,21.20,31.80,45466,21.79,32.69,46696,22.37,33.56,47925,22.96,34.44
