LOCNAME,GRADE,ANNUAL1,HOURLY1,OVERTIME1,ANNUAL2,HOURLY2,OVERTIME2,ANNUAL3,HOURLY3,OVERTIME3,ANNUAL4,HOURLY4,OVERTIME4,ANNUAL5,HOURLY5,OVERTIME5,ANNUAL6,HOURLY6,OVERTIME6,ANNUAL7,HOURLY7,OVERTIME7,ANNUAL8,HOURLY8,OVERTIME8,ANNUAL9,HOURLY9,OVERTIME9,ANNUAL10,HOURLY10,OVERTIME10
AK,1,25594,12.26,18.39,26453,12.68,19.02,27303,13.08,19.62,28150,13.49,20.24,29001,13.90,20.85,29499,14.13,21.20,30340,14.54,21.81,31188,14.94,22.41,31222,14.96,22.44,32016,15.34,23.01
AK,2,28779,13.79,20.69,29464,14.12,21.18,30417,14.57,21.86,31222,14.96,22.44,31573,15.13,22.70,32502,15.57,23.36,33430,16.02,24.03,34359,16.46,24.69,35287,16.91,25.37,36216,17.35,26.03
AK,3,31401,15.05,22.58,32447,15.55,23.33,33494,16.05,24.08,34540,16.55,24.83,35587,17.05,25.58,36633,17.55,26.33,37680,18.05,27.08,38726,18.56,27.84,39772,19.06,28.59,40819,19.56,29.34
AK,4,35249,16.89,25.34,36424,17.45,26.18,37599,18.02,27.03,38774,18.58,27.87,39949,19.14,28.71,41124,19.70,29.55,42298,20.27,30.41,43473,20.83,31.25,44648,21.39,32.09,45823,21.96,32.94
AK,5,39438,18.90,28.35,40753,19.53,29.30,42068,20.16,30.24,43382,20.79,31.19,44697,21.42,32.13,46012,22.05,33.08,47327,22.68,34.02,48642,23.31,34.97,49957,23.94,35.91,51272,24.57,36.86
AK,6,43962,21.06,31.59,45427,21.77,32.66,46893,22.47,33.71,48358,23.17,34.76,49823,23.87,35.81,51288,24.57,36.86,52754,25.28,37.92,54219,25.98,38.97,55684,26.68,40.02,57149,27.38,41.07
AK,7,48852,23.41,35.12,50481,24.19,36.29,52109,24.97,37.46,53738,25.75,38.63,55366,26.53,39.80,56995,27.31,40.97,58624,28.09,42.14,60252,28.87,43.31,61881,29.65,44.48,63510,30.43,45.65
AK,8,54102,25.92,38.88,55906,26.79,40.19,57710,27.65,41.48,59513,28.52,42.78,61317,29.38,44.07,63121,30.24,45.36,64924,31.11,46.67,66728,31.97,47.30,68532,32.84,47.30,70336,33.70,47.30
AK,9,59756,28.63,42.95,61748,29.59,44.39,63739,30.54,45.81,65731,31.50,47.25,67723,32.45,47.30,69714,33.40,47.30,71706,34.36,47.30,73698,35.31,47.30,75690,36.27,47.30,77681,37.22,47.30
AK,10,65805,31.53,47.30,67999,32.58,47.30,70193,33.63,47.30,72387,34.68,47.30,74581,35.74,47.30,76775,36.79,47.30,78969,37.84,47.30,81163,38.89,47.30,83357,39.94,47.30,85551,40.99,47.30
AK,11,72299,34.64,47.30,74709,35.80,47.30,77120,36.95,47.30,79531,38.11,47.30,81941,39.26,47.30,84352,40.42,47.30,86762,41.57,47.30,89173,42.73,47.30,91583,43.88,47.30,93994,45.04,47.30
AK,12,86657,41.52,47.30,89546,42.91,47.30,92435,44.29,47.30,95324,45.68,47.30,98213,47.06,47.30,101102,48.44,48.44,103991,49.83,49.83,106880,51.21,51.21,109770,52.60,52.60,112659,53.98,53.98
AK,13,103046,49.38,49.38,106481,51.02,51.02,109916,52.67,52.67,113351,54.31,54.31,116786,55.96,55.96,120221,57.60,57.60,123656,59.25,59.25,127091,60.90,60.90,130526,62.54,62.54,133961,64.19,64.19
AK,14,121769,58.35,58.35,125828,60.29,60.29,129887,62.24,62.24,133945,64.18,64.18,138004,66.13,66.13,142063,68.07,68.07,146121,70.01,70.01,150180,71.96,71.96,154239,73.90,73.90,158297,75.85,75.85
AK,15,143233,68.63,68.63,148008,70.92,70.92,152782,73.21,73.21,157557,75.49,75.49,162331,77.78,77.78,167106,80.07,80.07,171880,82.36,82.36,172500,82.65,82.65,172500,82.65,82.65,172500,82.65,82.65
AL,1,23267,11.15,16.73,24048,11.52,17.28,24821,11.89,17.84,25591,12.26,18.39,26364,12.63,18.95,26817,12.85,19.28,27582,13.22,19.83,28352,13.59,20.39,28383,13.60,20.40,29105,13.95,20.93
AL,2,26162,12.54,18.81,26785,12.83,19.25,27651,13.25,19.88,28383,13.60,20.40,28703,13.75,20.63,29547,14.16,21.24,30391,14.56,21.84,31235,14.97,22.46,32079,15.37,23.06,32923,15.78,23.67
AL,3,28546,13.68,20.52,29497,14.13,21.20,30448,14.59,21.89,31400,15.05,22.58,32351,15.50,23.25,33302,15.96,23.94,34254,16.41,24.62,35205,16.87,25.31,36156,17.32,25.98,37107,17.78,26.67
AL,4,32044,15.35,23.03,33112,15.87,23.81,34180,16.38,24.57,35248,16.89,25.34,36316,17.40,26.10,37384,17.91,26.87,38452,18.42,27.63,39520,18.94,28.41,40588,19.45,29.18,41656,19.96,29.94
AL,5,35852,17.18,25.77,37047,17.75,26.63,38243,18.32,27.48,39438,18.90,28.35,40633,19.47,29.21,41829,20.04,30.06,43024,20.62,30.93,44219,21.19,31.79,45414,21.76,32.64,46610,22.33,33.50
AL,6,39965,19.15,28.73,41297,19.79,29.69,42629,20.43,30.65,43961,21.06,31.59,45293,21.70,32.55,46625,22.34,33.51,47957,22.98,34.47,49289,23.62,35.43,50621,24.26,36.39,51953,24.89,37.34
AL,7,44410,21.28,31.92,45891,21.99,32.99,47371,22.70,34.05,48852,23.41,35.12,50332,24.12,36.18,51813,24.83,37.25,53294,25.54,38.31,54774,26.25,39.38,56255,26.95,40.43,57735,27.66,41.49
AL,8,49183,23.57,35.36,50823,24.35,36.53,52462,25.14,37.71,54102,25.92,38.88,55742,26.71,40.07,57382,27.49,41.24,59021,28.28,42.42,60661,29.07,42.99,62301,29.85,42.99,63940,30.64,42.99
AL,9,54323,26.03,39.05,56133,26.90,40.35,57944,27.76,41.64,59755,28.63,42.95,61565,29.50,42.99,63376,30.37,42.99,65186,31.23,42.99,66997,32.10,42.99,68808,32.97,42.99,70618,33.84,42.99
AL,10,59822,28.66,42.99,61816,29.62,42.99,63811,30.58,42.99,65805,31.53,42.99,67800,32.49,42.99,69794,33.44,42.99,71789,34.40,42.99,73783,35.35,42.99,75778,36.31,42.99,77773,37.27,42.99
AL,11,65725,31.49,42.99,67917,32.54,42.99,70108,33.59,42.99,72299,34.64,42.99,74491,35.69,42.99,76682,36.74,42.99,78874,37.79,42.99,81065,38.84,42.99,83256,39.89,42.99,85448,40.94,42.99
AL,12,78778,37.75,42.99,81404,39.01,42.99,84031,40.26,42.99,86657,41.52,42.99,89283,42.78,42.99,91910,44.04,44.04,94536,45.30,45.30,97163,46.56,46.56,99789,47.81,47.81,102415,49.07,49.07
AL,13,93677,44.89,44.89,96800,46.38,46.38,99922,47.88,47.88,103045,49.37,49.37,106167,50.87,50.87,109290,52.37,52.37,112413,53.86,53.86,115535,55.36,55.36,118658,56.86,56.86,121781,58.35,58.35
AL,14,110698,53.04,53.04,114387,54.81,54.81,118077,56.58,56.58,121767,58.35,58.35,125456,60.11,60.11,129146,61.88,61.88,132835,63.65,63.65,136525,65.42,65.42,140215,67.18,67.18,143904,68.95,68.95
AL,15,130210,62.39,62.39,134551,64.47,64.47,138891,66.55,66.55,143231,68.63,68.63,147572,70.71,70.71,151912,72.79,72.79,156252,74.87,74.87,160593,76.95,76.95,164933,79.03,79.03,169273,81.11,81.11
AQ,1,23030,11.03,16.55,23803,11.41,17.12,24568,11.77,17.66,25330,12.14,18.21,26095,12.50,18.75,26544,12.72,19.08,27301,13.08,19.62,28064,13.45,20.18,28094,13.46,20.19,28808,13.80,20.70
AQ,2,25896,12.41,18.62,26512,12.70,19.05,27370,13.11,19.67,28094,13.46,20.19,28410,13.61,20.42,29246,14.01,21.02,30081,14.41,21.62,30917,14.81,22.22,31752,15.21,22.82,32588,15.61,23.42
AQ,3,28255,13.54,20.31,29197,13.99,20.99,30138,14.44,21.66,31080,14.89,22.34,32022,15.34,23.01,32963,15.79,23.69,33905,16.25,24.38,34846,16.70,25.05,35788,17.15,25.73,36730,17.60,26.40
AQ,4,31718,15.20,22.80,32775,15.70,23.55,33833,16.21,24.32,34890,16.72,25.08,35947,17.22,25.83,37004,17.73,26.60,38061,18.24,27.36,39118,18.74,28.11,40175,19.25,28.88,41232,19.76,29.64
AQ,5,35487,17.00,25.50,36670,17.57,26.36,37853,18.14,27.21,39036,18.70,28.05,40220,19.27,28.91,41403,19.84,29.76,42586,20.41,30.62,43769,20.97,31.46,44952,21.54,32.31,46135,22.11,33.17
AQ,6,39558,18.95,28.43,40877,19.59,29.39,42195,20.22,30.33,43513,20.85,31.28,44832,21.48,32.22,46150,22.11,33.17,47469,22.75,34.13,48787,23.38,35.07,50106,24.01,36.02,51424,24.64,36.96
AQ,7,43958,21.06,31.59,45424,21.77,32.66,46889,22.47,33.71,48355,23.17,34.76,49820,23.87,35.81,51286,24.57,36.86,52751,25.28,37.92,54217,25.98,38.97,55682,26.68,40.02,57148,27.38,41.07
AQ,8,48682,23.33,35.00,50305,24.10,36.15,51928,24.88,37.32,53551,25.66,38.49,55174,26.44,39.66,56797,27.21,40.82,58421,27.99,41.99,60044,28.77,42.56,61667,29.55,42.56,63290,30.33,42.56
AQ,9,53770,25.76,38.64,55562,26.62,39.93,57354,27.48,41.22,59146,28.34,42.51,60938,29.20,42.56,62731,30.06,42.56,64523,30.92,42.56,66315,31.78,42.56,68107,32.63,42.56,69899,33.49,42.56
