LOCNAME,GRADE,ANNUAL1,HOURLY1,OVERTIME1,ANNUAL2,HOURLY2,OVERTIME2,ANNUAL3,HOURLY3,OVERTIME3,ANNUAL4,HOURLY4,OVERTIME4,ANNUAL5,HOURLY5,OVERTIME5,ANNUAL6,HOURLY6,OVERTIME6,ANNUAL7,HOURLY7,OVERTIME7,ANNUAL8,HOURLY8,OVERTIME8,ANNUAL9,HOURLY9,OVERTIME9,ANNUAL10,HOURLY10,OVERTIME10
AK,1,22958,11.00,16.50,23725,11.37,17.06,24489,11.73,17.60,25249,12.10,18.15,26012,12.46,18.69,26459,12.68,19.02,27214,13.04,19.56,27975,13.40,20.10,28005,13.42,20.13,28713,13.76,20.64
AK,2,25812,12.37,18.56,26426,12.66,18.99,27281,13.07,19.61,28005,13.42,20.13,28322,13.57,20.36,29156,13.97,20.96,29990,14.37,21.56,30823,14.77,22.16,31657,15.17,22.76,32490,15.57,23.36
AK,3,28164,13.49,20.24,29102,13.94,20.91,30041,14.39,21.59,30980,14.84,22.26,31918,15.29,22.94,32857,15.74,23.61,33796,16.19,24.29,34734,16.64,24.96,35673,17.09,25.64,36612,17.54,26.31
AK,4,31617,15.15,22.73,32671,15.65,23.48,33724,16.16,24.24,34778,16.66,24.99,35832,17.17,25.76,36886,17.67,26.51,37940,18.18,27.27,38994,18.68,28.02,40047,19.19,28.79,41101,19.69,29.54
AK,5,35373,16.95,25.43,36552,17.51,26.27,37731,18.08,27.12,38910,18.64,27.96,40089,19.21,28.82,41268,19.77,29.66,42447,20.34,30.51,43626,20.90,31.35,44805,21.47,32.21,45984,22.03,33.05
AK,6,39430,18.89,28.34,40745,19.52,29.28,42059,20.15,30.23,43373,20.78,31.17,44687,21.41,32.12,46001,22.04,33.06,47315,22.67,34.01,48630,23.30,34.95,49944,23.93,35.90,51258,24.56,36.84
AK,7,43817,21.00,31.50,45278,21.70,32.55,46738,22.39,33.59,48199,23.09,34.64,49660,23.79,35.69,51120,24.49,36.74,52581,25.19,37.79,54042,25.89,38.84,55502,26.59,39.89,56963,27.29,40.94
AK,8,48526,23.25,34.88,50143,24.03,36.05,51760,24.80,37.20,53377,25.58,38.37,54994,26.35,39.53,56611,27.13,40.70,58228,27.90,41.85,59845,28.68,42.42,61462,29.45,42.42,63079,30.22,42.42
AK,9,53597,25.68,38.52,55383,26.54,39.81,57169,27.39,41.09,58955,28.25,42.38,60741,29.10,42.42,62527,29.96,42.42,64313,30.82,42.42,66099,31.67,42.42,67886,32.53,42.42,69672,33.38,42.42
AK,10,59023,28.28,42.42,60990,29.22,42.42,62958,30.17,42.42,64925,31.11,42.42,66893,32.05,42.42,68861,33.00,42.42,70828,33.94,42.42,72796,34.88,42.42,74763,35.82,42.42,76731,36.77,42.42
AK,11,64847,31.07,42.42,67008,32.11,42.42,69170,33.14,42.42,71331,34.18,42.42,73493,35.21,42.42,75654,36.25,42.42,77816,37.29,42.42,79977,38.32,42.42,82139,39.36,42.42,84300,40.39,42.42
AK,12,77726,37.24,42.42,80316,38.48,42.42,82907,39.73,42.42,85498,40.97,42.42,88089,42.21,42.42,90680,43.45,43.45,93270,44.69,44.69,95861,45.93,45.93,98452,47.17,47.17,101043,48.42,48.42
AK,13,92426,44.29,44.29,95507,45.76,45.76,98589,47.24,47.24,101670,48.72,48.72,104751,50.19,50.19,107833,51.67,51.67,110914,53.15,53.15,113996,54.62,54.62,117077,56.10,56.10,120159,57.57,57.57
AK,14,109218,52.33,52.33,112859,54.08,54.08,116500,55.82,55.82,120141,57.57,57.57,123782,59.31,59.31,127423,61.06,61.06,131064,62.80,62.80,134705,64.54,64.54,138346,66.29,66.29,141987,68.03,68.03
AK,15,128472,61.56,61.56,132755,63.61,63.61,137038,65.66,65.66,141321,67.71,67.71,145604,69.77,69.77,149887,71.82,71.82,154170,73.87,73.87,158453,75.92,75.92,160300,76.81,76.81,160300,76.81,76.81
AL,1,21001,10.06,15.09,21703,10.40,15.60,22401,10.73,16.10,23096,11.07,16.61,23794,11.40,17.10,24203,11.60,17.40,24894,11.93,17.90,25590,12.26,18.39,25617,12.27,18.41,26265,12.59,18.89
AL,2,23611,11.31,16.97,24173,11.58,17.37,24955,11.96,17.94,25617,12.27,18.41,25908,12.41,18.62,26670,12.78,19.17,27433,13.14,19.71,28195,13.51,20.27,28958,13.88,20.82,29720,14.24,21.36
AL,3,25763,12.34,18.51,26621,12.76,19.14,27480,13.17,19.76,28339,13.58,20.37,29197,13.99,20.99,30056,14.40,21.60,30915,14.81,22.22,31773,15.22,22.83,32632,15.64,23.46,33491,16.05,24.08
AL,4,28921,13.86,20.79,29885,14.32,21.48,30849,14.78,22.17,31813,15.24,22.86,32777,15.71,23.57,33741,16.17,24.26,34705,16.63,24.95,35669,17.09,25.64,36633,17.55,26.33,37597,18.01,27.02
AL,5,32357,15.50,23.25,33436,16.02,24.03,34514,16.54,24.81,35593,17.05,25.58,36671,17.57,26.36,37750,18.09,27.14,38828,18.60,27.90,39907,19.12,28.68,40985,19.64,29.46,42064,20.16,30.24
AL,6,36069,17.28,25.92,37271,17.86,26.79,38473,18.43,27.65,39675,19.01,28.52,40878,19.59,29.39,42080,20.16,30.24,43282,20.74,31.11,44484,21.31,31.97,45686,21.89,32.84,46888,22.47,33.71
AL,7,40082,19.21,28.82,41418,19.85,29.78,42754,20.49,30.74,44090,21.13,31.70,45426,21.77,32.66,46762,22.41,33.62,48098,23.05,34.58,49434,23.69,35.54,50771,24.33,36.50,52107,24.97,37.46
AL,8,44389,21.27,31.91,45868,21.98,32.97,47347,22.69,34.04,48827,23.40,35.10,50306,24.10,36.15,51785,24.81,37.22,53264,25.52,38.28,54743,26.23,38.81,56223,26.94,38.81,57702,27.65,38.81
AL,9,49028,23.49,35.24,50662,24.28,36.42,52296,25.06,37.59,53929,25.84,38.76,55563,26.62,38.81,57197,27.41,38.81,58831,28.19,38.81,60464,28.97,38.81,62098,29.75,38.81,63732,30.54,38.81
AL,10,53991,25.87,38.81,55791,26.73,38.81,57591,27.60,38.81,59391,28.46,38.81,61190,29.32,38.81,62990,30.18,38.81,64790,31.04,38.81,66590,31.91,38.81,68389,32.77,38.81,70189,33.63,38.81
AL,11,59318,28.42,38.81,61296,29.37,38.81,63273,30.32,38.81,65250,31.26,38.81,67227,32.21,38.81,69205,33.16,38.81,71182,34.11,38.81,73159,35.05,38.81,75136,36.00,38.81,77114,36.95,38.81
AL,12,71099,34.07,38.81,73469,35.20,38.81,75839,36.34,38.81,78209,37.47,38.81,80579,38.61,38.81,82949,39.75,39.75,85319,40.88,40.88,87689,42.02,42.02,90059,43.15,43.15,92429,44.29,44.29
AL,13,84546,40.51,40.51,87365,41.86,41.86,90184,43.21,43.21,93003,44.56,44.56,95821,45.91,45.91,98640,47.26,47.26,101459,48.61,48.61,104277,49.97,49.97,107096,51.32,51.32,109915,52.67,52.67
AL,14,99907,47.87,47.87,103238,49.47,49.47,106568,51.06,51.06,109899,52.66,52.66,113229,54.25,54.25,116560,55.85,55.85,119890,57.45,57.45,123221,59.04,59.04,126552,60.64,60.64,129882,62.23,62.23
AL,15,117519,56.31,56.31,121437,58.19,58.19,125355,60.06,60.06,129273,61.94,61.94,133191,63.82,63.82,137109,65.70,65.70,141026,67.57,67.57,144944,69.45,69.45,148862,71.33,71.33,152780,73.21,73.21
AQ,1,20979,10.05,15.08,21680,10.39,15.59,22378,10.72,16.08,23072,11.06,16.59,23770,11.39,17.09,24178,11.59,17.39,24867,11.92,17.88,25563,12.25,18.38,25590,12.26,18.39,26238,12.57,18.86
AQ,2,23587,11.30,16.95,24148,11.57,17.36,24929,11.94,17.91,25590,12.26,18.39,25881,12.40,18.60,26642,12.77,19.16,27404,13.13,19.70,28166,13.50,20.25,28928,13.86,20.79,29689,14.23,21.35
AQ,3,25736,12.33,18.50,26593,12.74,19.11,27451,13.15,19.73,28309,13.56,20.34,29167,13.98,20.97,30024,14.39,21.59,30882,14.80,22.20,31740,15.21,22.82,32598,15.62,23.43,33456,16.03,24.05
AQ,4,28891,13.84,20.76,29854,14.30,21.45,30817,14.77,22.16,31780,15.23,22.85,32743,15.69,23.54,33706,16.15,24.23,34669,16.61,24.92,35632,17.07,25.61,36595,17.53,26.30,37558,18.00,27.00
AQ,5,32323,15.49,23.24,33401,16.00,24.00,34478,16.52,24.78,35555,17.04,25.56,36633,17.55,26.33,37710,18.07,27.11,38787,18.59,27.89,39865,19.10,28.65,40942,19.62,29.43,42020,20.13,30.20
AQ,6,36031,17.26,25.89,37232,17.84,26.76,38433,18.42,27.63,39634,18.99,28.49,40835,19.57,29.36,42036,20.14,30.21,43236,20.72,31.08,44437,21.29,31.94,45638,21.87,32.81,46839,22.44,33.66
AQ,7,40040,19.19,28.79,41374,19.82,29.73,42709,20.46,30.69,44044,21.10,31.65,45379,21.74,32.61,46713,22.38,33.57,48048,23.02,34.53,49383,23.66,35.49,50717,24.30,36.45,52052,24.94,37.41
AQ,8,44342,21.25,31.88,45820,21.95,32.93,47298,22.66,33.99,48775,23.37,35.06,50253,24.08,36.12,51731,24.79,37.19,53208,25.49,38.24,54686,26.20,38.76,56164,26.91,38.76,57641,27.62,38.76
AQ,9,48977,23.47,35.21,50609,24.25,36.38,52241,25.03,37.55,53873,25.81,38.72,55505,26.60,38.76,57137,27.38,38.76,58769,28.16,38.76,60401,28.94,38.76,62033,29.72,38.76,63665,30.51,38.76
