LOCNAME,GRADE,ANNUAL1,HOURLY1,OVERTIME1,ANNUAL2,HOURLY2,OVERTIME2,ANNUAL3,HOURLY3,OVERTIME3,ANNUAL4,HOURLY4,OVERTIME4,ANNUAL5,HOURLY5,OVERTIME5,ANNUAL6,HOURLY6,OVERTIME6,ANNUAL7,HOURLY7,OVERTIME7,ANNUAL8,HOURLY8,OVERTIME8,ANNUAL9,HOURLY9,OVERTIME9,ANNUAL10,HOURLY10,OVERTIME10
AQ,3,27975,13.40,20.10,28907,13.85,20.78,29840,14.30,21.45,30772,14.74,22.11,31704,15.19,22.79,32637,15.64,23.46,33569,16.08,24.12,34501,16.53,24.80,35433,16.98,25.47,36366,17.43,26.15
AQ,4,31404,15.05,22.58,32451,15.55,23.33,33498,16.05,24.08,34544,16.55,24.83,35591,17.05,25.58,36638,17.56,26.34,37684,18.06,27.09,38731,18.56,27.84,39777,19.06,28.59,40824,19.56,29.34
AQ,5,35136,16.84,25.26,36307,17.40,26.10,37479,17.96,26.94,38650,18.52,27.78,39822,19.08,28.62,40993,19.64,29.46,42165,20.20,30.30,43336,20.76,31.14,44508,21.33,32.00,45679,21.89,32.84
AQ,6,39166,18.77,28.16,40472,19.39,29.09,41777,20.02,30.03,43083,20.64,30.96,44389,21.27,31.91,45694,21.89,32.84,47000,22.52,33.78,48306,23.15,34.73,49611,23.77,35.66,50917,24.40,36.60
AQ,7,43523,20.85,31.28,44973,21.55,32.33,46423,22.24,33.36,47874,22.94,34.41,49324,23.63,35.45,50774,24.33,36.50,52225,25.02,37.53,53675,25.72,38.58,55125,26.41,39.62,56576,27.11,40.67
AQ,8,48201,23.10,34.65,49807,23.87,35.81,51414,24.64,36.96,53021,25.41,38.12,54627,26.17,39.26,56234,26.94,40.41,57841,27.71,41.57,59447,28.48,42.14,61054,29.25,42.14,62661,30.02,42.14
AQ,9,53238,25.51,38.27,55012,26.36,39.54,56787,27.21,40.82,58562,28.06,42.09,60336,28.91,42.14,62111,29.76,42.14,63886,30.61,42.14,65661,31.46,42.14,67435,32.31,42.14,69210,33.16,42.14
AQ,10,58627,28.09,42.14,60581,29.03,42.14,62536,29.96,42.14,64490,30.90,42.14,66445,31.84,42.14,68399,32.77,42.14,70353,33.71,42.14,72308,34.65,42.14,74262,35.58,42.14,76217,36.52,42.14
AQ,11,64412,30.86,42.14,66559,31.89,42.14,68706,32.92,42.14,70853,33.95,42.14,73000,34.98,42.14,75147,36.01,42.14,77293,37.04,42.14,79440,38.06,42.14,81587,39.09,42.14,83734,40.12,42.14
AQ,12,77204,36.99,42.14,79778,38.23,42.14,82352,39.46,42.14,84926,40.69,42.14,87499,41.93,42.14,90073,43.16,43.16,92647,44.39,44.39,95221,45.63,45.63,97795,46.86,46.86,100369,48.09,48.09
AQ,13,91805,43.99,43.99,94866,45.46,45.46,97926,46.92,46.92,100987,48.39,48.39,104047,49.85,49.85,107108,51.32,51.32,110168,52.79,52.79,113229,54.25,54.25,116289,55.72,55.72,119350,57.19,57.19
AQ,14,108486,51.98,51.98,112101,53.71,53.71,115717,55.45,55.45,119333,57.18,57.18,122949,58.91,58.91,126565,60.64,60.64,130181,62.38,62.38,133797,64.11,64.11,137413,65.84,65.84,141029,67.57,67.57
AQ,15,127608,61.14,61.14,131862,63.18,63.18,136117,65.22,65.22,140371,67.26,67.26,144625,69.30,69.30,148879,71.34,71.34,153133,73.37,73.37,157387,75.41,75.41,161641,77.45,77.45,165896,79.49,79.49
ATL,1,23874,11.44,17.16,24674,11.82,17.73,25468,12.20,18.30,26257,12.58,18.87,27051,12.96,19.44,27515,13.18,19.77,28300,13.56,20.34,29091,13.94,20.91,29123,13.95,20.93,29866,14.31,21.47
ATL,2,26843,12.86,19.29,27482,13.17,19.76,28372,13.59,20.39,29123,13.95,20.93,29450,14.11,21.17,30316,14.53,21.80,31183,14.94,22.41,32049,15.36,23.04,32915,15.77,23.66,33781,16.19,24.29
ATL,3,29289,14.03,21.05,30265,14.50,21.75,31241,14.97,22.46,32217,15.44,23.16,33193,15.90,23.85,34169,16.37,24.56,35145,16.84,25.26,36121,17.31,25.97,37098,17.78,26.67,38074,18.24,27.36
ATL,4,32879,15.75,23.63,33975,16.28,24.42,35071,16.80,25.20,36167,17.33,26.00,37262,17.85,26.78,38358,18.38,27.57,39454,18.90,28.35,40550,19.43,29.15,41646,19.95,29.93,42741,20.48,30.72
ATL,5,36786,17.63,26.45,38013,18.21,27.32,39239,18.80,28.20,40466,19.39,29.09,41692,19.98,29.97,42918,20.56,30.84,44145,21.15,31.73,45371,21.74,32.61,46598,22.33,33.50,47824,22.92,34.38
ATL,6,41005,19.65,29.48,42372,20.30,30.45,43739,20.96,31.44,45106,21.61,32.42,46473,22.27,33.41,47840,22.92,34.38,49207,23.58,35.37,50574,24.23,36.35,51941,24.89,37.34,53308,25.54,38.31
ATL,7,45567,21.83,32.75,47085,22.56,33.84,48604,23.29,34.94,50122,24.02,36.03,51641,24.74,37.11,53159,25.47,38.21,54678,26.20,39.30,56196,26.93,40.40,57714,27.65,41.48,59233,28.38,42.57
ATL,8,50464,24.18,36.27,52146,24.99,37.49,53829,25.79,38.69,55511,26.60,39.90,57193,27.40,41.10,58875,28.21,42.32,60557,29.02,43.53,62239,29.82,44.12,63921,30.63,44.12,65604,31.43,44.12
ATL,9,55738,26.71,40.07,57596,27.60,41.40,59454,28.49,42.74,61312,29.38,44.07,63170,30.27,44.12,65028,31.16,44.12,66886,32.05,44.12,68744,32.94,44.12,70602,33.83,44.12,72460,34.72,44.12
ATL,10,61381,29.41,44.12,63427,30.39,44.12,65473,31.37,44.12,67519,32.35,44.12,69565,33.33,44.12,71611,34.31,44.12,73658,35.29,44.12,75704,36.27,44.12,77750,37.25,44.12,79796,38.23,44.12
ATL,11,67437,32.31,44.12,69685,33.39,44.12,71933,34.47,44.12,74180,35.54,44.12,76428,36.62,44.12,78676,37.70,44.12,80924,38.78,44.12,83171,39.85,44.12,85419,40.93,44.12,87667,42.01,44.12
ATL,12,80830,38.73,44.12,83524,40.02,44.12,86219,41.31,44.12,88914,42.60,44.12,91609,43.90,44.12,94304,45.19,45.19,96999,46.48,46.48,99694,47.77,47.77,102388,49.06,49.06,105083,50.35,50.35
ATL,13,96117,46.06,46.06,99321,47.59,47.59,102525,49.13,49.13,105729,50.66,50.66,108934,52.20,52.20,112138,53.73,53.73,115342,55.27,55.27,118547,56.80,56.80,121751,58.34,58.34,124955,59.87,59.87
ATL,14,113581,54.42,54.42,117366,56.24,56.24,121152,58.05,58.05,124938,59.86,59.86,128724,61.68,61.68,132509,63.49,63.49,136295,65.31,65.31,140081,67.12,67.12,143867,68.93,68.93,147652,70.75,70.75
ATL,15,133602,64.02,64.02,138055,66.15,66.15,142509,68.28,68.28,146963,70.42,70.42,151417,72.55,72.55,155871,74.69,74.69,160325,76.82,76.82,164779,78.95,78.95,169233,81.09,81.09,170800,81.84,81.84
AU,1,23094,11.07,16.61,23868,11.44,17.16,24636,11.80,17.70,25399,12.17,18.26,26168,12.54,18.81,26617,12.75,19.13,27375,13.12,19.68,28141,13.48,20.22,28172,13.50,20.25,28890,13.84,20.76
AU,2,25967,12.44,18.66,26585,12.74,19.11,27445,13.15,19.73,28172,13.50,20.25,28488,13.65,20.48,29326,14.05,21.08,30164,14.45,21.68,31002,14.85,22.28,31840,15.26,22.89,32678,15.66,23.49
AU,3,28332,13.58,20.37,29277,14.03,21.05,30221,14.48,21.72,31165,14.93,22.40,32109,15.39,23.09,33053,15.84,23.76,33998,16.29,24.44,34942,16.74,25.11,35886,17.20,25.80,36830,17.65,26.48
AU,4,31805,15.24,22.86,32865,15.75,23.63,33925,16.26,24.39,34985,16.76,25.14,36045,17.27,25.91,37105,17.78,26.67,38165,18.29,27.44,39225,18.79,28.19,40285,19.30,28.95,41345,19.81,29.72
AU,5,35585,17.05,25.58,36771,17.62,26.43,37957,18.19,27.29,39144,18.76,28.14,40330,19.32,28.98,41517,19.89,29.84,42703,20.46,30.69,43890,21.03,31.55,45076,21.60,32.40,46262,22.17,33.26
AU,6,39666,19.01,28.52,40988,19.64,29.46,42311,20.27,30.41,43633,20.91,31.37,44955,21.54,32.31,46278,22.17,33.26,47600,22.81,34.22,48922,23.44,35.16,50245,24.08,36.12,51567,24.71,37.07
AU,7,44079,21.12,31.68,45547,21.82,32.73,47016,22.53,33.80,48485,23.23,34.85,49954,23.94,35.91,51423,24.64,36.96,52892,25.34,38.01,54361,26.05,39.08,55829,26.75,40.13,57298,27.45,41.18
AU,8,48816,23.39,35.09,50443,24.17,36.26,52070,24.95,37.43,53698,25.73,38.60,55325,26.51,39.77,56952,27.29,40.94,58579,28.07,42.11,60206,28.85,42.68,61834,29.63,42.68,63461,30.41,42.68
AU,9,53917,25.83,38.75,55715,26.70,40.05,57512,27.56,41.34,59310,28.42,42.63,61107,29.28,42.68,62904,30.14,42.68,64702,31.00,42.68,66499,31.86,42.68,68296,32.72,42.68,70094,33.59,42.68
AU,10,59376,28.45,42.68,61355,29.40,42.68,63334,30.35,42.68,65314,31.30,42.68,67293,32.24,42.68,69272,33.19,42.68,71252,34.14,42.68,73231,35.09,42.68,75210,36.04,42.68,77190,36.99,42.68
AU,11,65235,31.26,42.68,67409,32.30,42.68,69583,33.34,42.68,71758,34.38,42.68,73932,35.43,42.68,76106,36.47,42.68,78281,37.51,42.68,80455,38.55,42.68,82629,39.59,42.68,84804,40.63,42.68
AU,12,78190,37.47,42.68,80796,38.71,42.68,83403,39.96,42.68,86010,41.21,42.68,88617,42.46,42.68,91224,43.71,43.71,93831,44.96,44.96,96437,46.21,46.21,99044,47.46,47.46,101651,48.71,48.71
AU,13,92977,44.55,44.55,96077,46.04,46.04,99177,47.52,47.52,102276,49.01,49.01,105376,50.49,50.49,108475,51.98,51.98,111575,53.46,53.46,114675,54.95,54.95,117774,56.43,56.43,120874,57.92,57.92
AU,14,109871,52.65,52.65,113533,54.40,54.40,117195,56.15,56.15,120857,57.91,57.91,124519,59.66,59.66,128181,61.42,61.42,131843,63.17,63.17,135506,64.93,64.93,139168,66.68,66.68,142830,68.44,68.44
AU,15,129238,61.93,61.93,133546,63.99,63.99,137855,66.05,66.05,142163,68.12,68.12,146472,70.18,70.18,150780,72.25,72.25,155089,74.31,74.31,159397,76.38,76.38,163706,78.44,78.44,168014,80.51,80.51
BH,1,22721,10.89,16.34,23482,11.25,16.88,24238,11.61,17.42,24989,11.97,17.96,25745,12.34,18.51,26186,12.55,18.83,26933,12.91,19.37,27686,13.27,19.91,27716,13.28,19.92,28423,13.62,20.43
BH,2,25547,12.24,18.36,26155,12.53,18.80,27001,12.94,19.41,27716,13.28,19.92,28028,13.43,20.15,28852,13.82,20.73,29677,14.22,21.33,30501,14.61,21.92,31325,15.01,22.52,32149,15.40,23.10
BH,3,27874,13.36,20.04,28803,13.80,20.70,29732,14.25,21.38,30661,14.69,22.04,31590,15.14,22.71,32519,15.58,23.37,33448,16.03,24.05,34377,16.47,24.71,35306,16.92,25.38,36235,17.36,26.04
BH,4,31291,14.99,22.49,32334,15.49,23.24,33377,15.99,23.99,34420,16.49,24.74,35463,16.99,25.49,36506,17.49,26.24,37548,17.99,26.99,38591,18.49,27.74,39634,18.99,28.49,40677,19.49,29.24
BH,5,35009,16.77,25.16,36177,17.33,26.00,37344,17.89,26.84,38511,18.45,27.68,39678,19.01,28.52,40846,19.57,29.36,42013,20.13,30.20,43180,20.69,31.04,44347,21.25,31.88,45515,21.81,32.72
BH,6,39025,18.70,28.05,40326,19.32,28.98,41627,19.95,29.93,42928,20.57,30.86,44229,21.19,31.79,45530,21.82,32.73,46831,22.44,33.66,48132,23.06,34.59,49433,23.69,35.54,50734,24.31,36.47
BH,7,43366,20.78,31.17,44811,21.47,32.21,46256,22.16,33.24,47701,22.86,34.29,49147,23.55,35.33,50592,24.24,36.36,52037,24.93,37.40,53482,25.63,38.45,54927,26.32,39.48,56372,27.01,40.52
BH,8,48027,23.01,34.52,49628,23.78,35.67,51229,24.55,36.83,52830,25.31,37.97,54431,26.08,39.12,56032,26.85,40.28,57632,27.61,41.42,59233,28.38,41.99,60834,29.15,41.99,62435,29.92,41.99
BH,9,53046,25.42,38.13,54814,26.26,39.39,56583,27.11,40.67,58351,27.96,41.94,60119,28.81,41.99,61888,29.65,41.99,63656,30.50,41.99,65424,31.35,41.99,67192,32.20,41.99,68961,33.04,41.99
BH,10,58416,27.99,41.99,60363,28.92,41.99,62311,29.86,41.99,64258,30.79,41.99,66205,31.72,41.99,68153,32.66,41.99,70100,33.59,41.99,72047,34.52,41.99,73995,35.46,41.99,75942,36.39,41.99
BH,11,64180,30.75,41.99,66319,31.78,41.99,68459,32.80,41.99,70598,33.83,41.99,72737,34.85,41.99,74876,35.88,41.99,77015,36.90,41.99,79154,37.93,41.99,81294,38.95,41.99,83433,39.98,41.99
BH,12,76926,36.86,41.99,79490,38.09,41.99,82055,39.32,41.99,84620,40.55,41.99,87185,41.78,41.99,89749,43.00,43.00,92314,44.23,44.23,94879,45.46,45.46,97443,46.69,46.69,100008,47.92,47.92
BH,13,91475,43.83,43.83,94524,45.29,45.29,97574,46.75,46.75,100623,48.21,48.21,103673,49.68,49.68,106722,51.14,51.14,109772,52.60,52.60,112821,54.06,54.06,115871,55.52,55.52,118920,56.98,56.98
BH,14,108095,51.79,51.79,111698,53.52,53.52,115301,55.25,55.25,118904,56.97,56.97,122507,58.70,58.70,126110,60.43,60.43,129712,62.15,62.15,133315,63.88,63.88,136918,65.61,65.61,140521,67.33,67.33
BH,15,127149,60.92,60.92,131388,62.96,62.96,135627,64.99,64.99,139865,67.02,67.02,144104,69.05,69.05,148343,71.08,71.08,152582,73.11,73.11,156821,75.14,75.14,161060,77.17,77.17,165298,79.20,79.20
BN,1,22844,10.95,16.43,23609,11.31,16.97,24369,11.68,17.52,25124,12.04,18.06,25884,12.40,18.60,26328,12.62,18.93,27079,12.98,19.47,27836,13.34,20.01,27867,13.35,20.03,28577,13.69,20.54
BN,2,25685,12.31,18.47,26297,12.60,18.90,27148,13.01,19.52,27867,13.35,20.03,28180,13.50,20.25,29009,13.90,20.85,29837,14.30,21.45,30666,14.69,22.04,31495,15.09,22.64,32324,15.49,23.24
BN,3,28026,13.43,20.15,28959,13.88,20.82,29893,14.32,21.48,30827,14.77,22.16,31761,15.22,22.83,32695,15.67,23.51,33629,16.11,24.17,34563,16.56,24.84,35497,17.01,25.52,36431,17.46,26.19
BN,4,31461,15.07,22.61,32509,15.58,23.37,33558,16.08,24.12,34606,16.58,24.87,35655,17.08,25.62,36703,17.59,26.39,37752,18.09,27.14,38800,18.59,27.89,39849,19.09,28.64,40897,19.60,29.40
BN,5,35199,16.87,25.31,36373,17.43,26.15,37546,17.99,26.99,38720,18.55,27.83,39893,19.11,28.67,41067,19.68,29.52,42241,20.24,30.36,43414,20.80,31.20,44588,21.36,32.04,45761,21.93,32.90
BN,6,39236,18.80,28.20,40544,19.43,29.15,41852,20.05,30.08,43160,20.68,31.02,44468,21.31,31.97,45776,21.93,32.90,47084,22.56,33.84,48392,23.19,34.79,49700,23.81,35.72,51008,24.44,36.66
BN,7,43601,20.89,31.34,45054,21.59,32.39,46507,22.28,33.42,47960,22.98,34.47,49413,23.68,35.52,50866,24.37,36.56,52319,25.07,37.61,53772,25.77,38.66,55225,26.46,39.69,56678,27.16,40.74
BN,8,48287,23.14,34.71,49897,23.91,35.87,51506,24.68,37.02,53116,25.45,38.18,54726,26.22,39.33,56335,26.99,40.49,57945,27.76,41.64,59554,28.54,42.21,61164,29.31,42.21,62773,30.08,42.21
BN,9,53333,25.55,38.33,55111,26.41,39.62,56889,27.26,40.89,58667,28.11,42.17,60445,28.96,42.21,62223,29.81,42.21,64001,30.67,42.21,65779,31.52,42.21,67557,32.37,42.21,69334,33.22,42.21
BN,10,58733,28.14,42.21,60690,29.08,42.21,62648,30.02,42.21,64606,30.96,42.21,66564,31.89,42.21,68522,32.83,42.21,70480,33.77,42.21,72438,34.71,42.21,74396,35.65,42.21,76354,36.59,42.21
BN,11,64528,30.92,42.21,66679,31.95,42.21,68830,32.98,42.21,70980,34.01,42.21,73131,35.04,42.21,75282,36.07,42.21,77433,37.10,42.21,79583,38.13,42.21,81734,39.16,42.21,83885,40.19,42.21
BN,12,77343,37.06,42.21,79921,38.29,42.21,82500,39.53,42.21,85078,40.77,42.21,87657,42.00,42.21,90236,43.24,43.24,92814,44.47,44.47,95393,45.71,45.71,97971,46.94,46.94,100550,48.18,48.18
BN,13,91970,44.07,44.07,95036,45.54,45.54,98102,47.01,47.01,101168,48.48,48.48,104234,49.94,49.94,107300,51.41,51.41,110366,52.88,52.88,113432,54.35,54.35,116498,55.82,55.82,119564,57.29,57.29
BN,14,108681,52.08,52.08,112303,53.81,53.81,115926,55.55,55.55,119548,57.28,57.28,123170,59.02,59.02,126793,60.75,60.75,130415,62.49,62.49,134038,64.23,64.23,137660,65.96,65.96,141283,67.70,67.70
BN,15,127838,61.25,61.25,132100,63.30,63.30,136362,65.34,65.34,140623,67.38,67.38,144885,69.42,69.42,149147,71.46,71.46,153409,73.51,73.51,157671,75.55,75.55,161932,77.59,77.59,166194,79.63,79.63
BOS,1,25232,12.09,18.14,26078,12.50,18.75,26917,12.90,19.35,27751,13.30,19.95,28590,13.70,20.55,29081,13.93,20.90,29910,14.33,21.50,30746,14.73,22.10,30780,14.75,22.13,31565,15.12,22.68
BOS,2,28371,13.59,20.39,29046,13.92,20.88,29986,14.37,21.56,30780,14.75,22.13,31126,14.91,22.37,32041,15.35,23.03,32957,15.79,23.69,33872,16.23,24.35,34787,16.67,25.01,35703,17.11,25.67
BOS,3,30955,14.83,22.25,31987,15.33,23.00,33019,15.82,23.73,34050,16.32,24.48,35082,16.81,25.22,36113,17.30,25.95,37145,17.80,26.70,38177,18.29,27.44,39208,18.79,28.19,40240,19.28,28.92
